code,code_type,short_description,long_description
A41.9-5417,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
E11.9-1301,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
453785,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
930004,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
R07.9-4303,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
I10-5469,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
710209,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
N39.0-5240,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
E11.9-902,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
E11.9-2242,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
E11.9-1346,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
R07.9-5927,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
850250,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
I10-4105,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992133,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
Z00.00-5266,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-3650,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
453782,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
E11.9-4662,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-5019,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-4945,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
M54.5-4127,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
N39.0-1914,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
E11.9-450,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-806,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
E11.9-877,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-2871,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
810013,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
930103,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
930106,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
800537,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
930006,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
Z00.00-943,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-1031,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
992135,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
Z00.00-5780,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
930006,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
992138,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
A41.9-4491,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
A41.9-2721,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
A41.9-4514,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
